auntie; step-mother; mother's younger sister,阿姨;阿姨,ā yí
"ah; (particle showing elation, doubt, puzzled surprise, or approval)",啊;啊,a
short; low,矮;矮,ǎi
hobby; fond of; to like; interest,爱好;愛好,ài hào
quiet; peaceful; calm,安静;安靜,ān jìng
(mw for things with handles); (pretransitive particle); to hold,把;把,bǎ
team; class; squad,班;班,bān
to move; to transport,搬;搬,bān
method; way (of doing something),办法;辦法,bàn fǎ
office,办公室;辦公室,bàn gōng shì
half; semi-; incomplete,半;半,bàn
to help,帮忙;幫忙,bāng máng
"to cover; to wrap; to hold; include; (mw for containers, packages, etc.)",包;包,bāo
eat until full; satisfied,饱;飽,bǎo
north; the northern part of the country,北方;北方,běi fāng
by (indicates passive voice sentences); a quilt/blanket,被;被,bèi
nose,鼻子;鼻子,bí zi
compare; contrast; relatively,比较;比較,bǐ jiào
(sports) match; competition,比赛;比賽,bǐ sài
notebook,笔记本;筆記本,bǐ jì běn
must; have to,必须;必須,bì xū
change,变化;變化,biàn huà
other people; others,别人;別人,bié ren
refrigerator,冰箱;冰箱,bīng xiāng
not only,不但;不但,bú dàn
moreover; in addition; as well as,而且;而且,ér qiě
menu,菜单;菜單,cài dān
participate; join; take part in,参加;參加,cān jiā
grass; straw; draft (of a document),草;草,cǎo
"(mw for layers, floors of buildings)",层;層,céng
differ from; fall short of; poor; inferior,差;差,chà
supermarket,超市;超市,chāo shì
shirt; blouse,衬衫;襯衫,chèn shān
achievement; success; results (of work or study),成绩;成績,chéng jì
city or town,城市;城市,chéng shì
arrive late,迟到;遲到,chí dào
besides; except for; aside from; in addition to,除了;除了,chú le
a boat; vessel; ship,船;船,chuán
spring (season); joyful,春;春,chūn
dictionary,词典;詞典,cí diǎn
intelligent; clever; bright; smart,聪明;聰明,cōng ming
to clean; to sweep,打扫;打掃,dǎ sǎo
to plan; intend,打算;打算,dǎ suàn
band; belt; ribbon; carry; bring; take along; bring up (kids),带;帶,dài
to worry; feel anxious,担心;擔心,dān xīn
cake,蛋糕;蛋糕,dàn gāo
of course; naturally,当然;當然,dāng rán
earth; ground | (adverbial particle),地;地,dì | de
lamp; light,灯;燈,dēng
"place; space; room; part, (fāng: local; regional)",地方;地方,dì fang
subway,地铁;地鐵,dì tiě
map,地图;地圖,dì tú
elevator,电梯;電梯,diàn tī
email,电子邮件;電子郵件,diàn zǐ yóu jiàn
East,东;東,dōng
winter,冬;冬,dōng
animal,动物;動物,dòng wù
"short (in length, duration, or height); lack",短;短,duǎn
paragraph; segment; section,段;段,duàn
to exercise; work out; toughen; to temper,锻炼;鍛煉,duàn liàn
"how (wonderful, etc.); what (a great idea)",多么;多麼,duō me
hungry,饿;餓,è
ear,耳朵;耳朵,ěr duo
send out; to issue; to show (one's feelings) | hair,发;發,fā | fà
have a fever,发烧;發燒,fā shāo
discover; to find,发现;發現,fā xiàn
convenient,方便;方便,fāng biàn
put; to place; to release; to free,放;放,fàng
relax; feel relieved; rest assured,放心;放心,fàng xīn
divide; part; minute; cent | component; share; ingredient,分;分,fēn | fèn
(in the) vicinity; nearby; neighboring,附近;附近,fù jìn
revise; to review,复习;復習,fù xí
clean; neat and tidy,干净;干淨,gān jìng
catch cold; (common) cold,感冒;感冒,gǎn mào
be interested in,感兴趣;感興趣,gǎn xìng qù
just now; a moment ago,刚才;剛才,gāng cái
height; stature; build,个子;個子,gè zi
according to; based on; basis,根据;根據,gēn jù
to follow; go with; heel,跟;跟,gēn
more; even more,更;更,gèng
kilogram,公斤;公斤,gōng jīn
public park,公园;公園,gōng yuán
story; tale,故事;故事,gù shi
windy; to blow (wind),刮风;刮風,guā fēng
to close; shut; concern; relationship; turn off; mountain pass,关;關,guān
relation; to concern,关系;關系,guān xi
concerned about/with,关心;關心,guān xīn
about; regarding; concerning,关于;關於,guān yú
country; state; nation,国家;國家,guó jiā
to pass; to cross; go over; (indicates a past experience),过;過,guò
in the past; formerly,过去;過去,guò qù
or; still; nevertheless; had better,还是;還是,hái shi
afraid of; to fear,害怕;害怕,hài pà
blackboard,黑板;黑板,hēi bǎn
afterwards; after; later,后来;后來,hòu lái
passport,护照;護照,hù zhào
flower; blossom; spend money; cost,花;花,huā
draw; picture; painting,画;畫,huà
bad; broken,坏;壞,huài
to welcome; greet,欢迎;歡迎,huān yíng
still; yet; in addition; even,还;還,hái
environment; surroundings,环境;環境,huán jìng
change; to exchange; to barter; to trade,换;換,huàn
Yellow River,黄河;黃河,huáng hé
to reply; to answer,回答;回答,huí dá
meeting; conference,会议;會議,huì yì
or; possible; maybe; perhaps,或者;或者,huò zhě
almost,几乎;幾乎,jī hū
opportunity; chance; occasion,机会;機會,jī huì
an extreme; pole; very,极;極,jí
remember,记得;記得,jì de
season; time; period,季节;季節,jì jié
to check; examine; inspect,检查;檢查,jiǎn chá
simple; not complicated,简单;簡單,jiǎn dān
