找,to Find,Zhǎo
不行,not allowed,Bùxíng
游戏,game,Yóuxì
适合,suitable,Shìhé
进来,come in,Jìnlái
坏人,bad person,Huàirén
加油,You can do it,Jiāyóu
集,Episode,Jí
我还是老样子,The same old thing,Wǒháishìlǎoyàngzi
张婉凝,Zhang Wanning,Zhāngwǎnníng
披萨,Pizza,Pīsà
蛋炒饭,Egg fried rice,Dànchǎofàn
德国,Germany,Déguó
俄国,Russia,Éguó
意大利,Italy,Yìdàlì
爱尔兰,Ireland,Ài'ěrlán
加拿大,Canada,Jiānádà
泰国,Thailand,Tàiguó
汉语水平考试,HSK,Hànyǔshuǐpíngkǎoshì
苏格兰,Scotland,Sūgélán
格拉斯哥,Glasgow,Gélāsīgē
爱丁堡,Edinburgh,Àidīngbǎo
阿但丁,Aberdeen,Adàndīng
魔法,Magic,Mófǎ
棒,Stick,Bàng
挥动,to wave,Huīdòng
然后,and then,Ránhòu
青蛙,Frog,Qīngwā
自己,self,Zìjǐ
应该,should,Yīnggāi
别的,other,Biéde
地方,place,Dìfāng
感到,to feel,Gǎndào
孤单,lonely,Gūdān
需要,to need,Xūyào
帮忙,to Help,Bāngmáng
巧克力,Chocolate,Qiǎokèlì
饼干,cookie,Bǐnggān
舔,to Lick,Tiǎn
开始,to Begin,Kāishǐ
视频,video,Shìpín
空气动力学,aerodynamics,Kōngqìdònglìxué
热力学,Thermodynamics,Rèlìxué
力学,Mechanics,Lìxué
流体力学,Fluid Mechanics,Liútǐlìxué
工程师,Engineer,Gōngchéngshī
微积分学,Calculus,Wéijīfēnxué
室友,Roommate,Shìyǒu
下载,to download,Xiàzài
上传,to upload,Shàngchuán
