be; relate to; system; fasten; department; faculty; connect | to tie,系;系,xì | jì
recommend; recommendation,推荐;推薦,tuī jiàn
exhale; sip; (sound of laughter),哈;哈,hā
human life,人生;人生,rén shēng
do; make; be engaged in,搞;搞,gǎo
"to clap; to pat; to shoot (pictures, a film); send (a telegram)",拍;拍,pāi
look forward to; await; expectation,期待;期待,qī dài
(mw for pieces of things); a slice; a flake (Kangxi radical 91) | film; photo,片;片,piàn | piān
depend on; lean on; near; to trust,靠;靠,kào
"place; that which; (mw for houses, buildings)",所;所,suǒ
to load; dress up; pretend; clothing; to install,装;裝,zhuāng
to turn over; capsize; translate,翻;翻,fān
to drip; drop; (mw for drops of liquid),滴;滴,dī
unexpectedly; to one's surprise; go so far as to,居然;居然,jū rán
cover; (mw for sets of things); tie together,套;套,tào
hey!; (interjection of surprise or dissatisfaction),哎;哎,āi
foolish; fool,傻;傻,shǎ
participate (in sth.); attach oneself to,参与;參與,cān yù
head; chief; first; (mw for poems and songs) (Kangxi radical 185),首;首,shǒu
treasure; precious things; darling; baby,宝贝;寶貝,bǎo bèi
night; darkness,夜;夜,yè
individual; personal; oneself,个人;個人,gè rén
publish; to issue (a statement); announce,发表;發表,fā biǎo
straight; currently; correct; just (right); pure; precisely,正;正,zhèng
how; what; what way,如何;如何,rú hé
fight over; vie for; grab; rush | bump against,抢;搶,qiǎng | qiāng
"beloved; Dear ... (a way of starting a letter lovers, intimate friends or close relatives)",亲爱;親愛,qīn ài
once; (refers to something that happened previously),曾经;曾經,céng jīng
future,未来;未來,wèi lái
absolute; definite,绝对;絕對,jué duì
blessings; wish well,祝福;祝福,zhù fú
warm,温暖;溫暖,wēn nuǎn
gram; overcome; restrain,克;克,kè
a certain; some,某;某,mǒu
bright; light; shiny,亮;亮,liàng
fashion; fad,时尚;時尚,shí shàng
days; date; time; life,日子;日子,rì zi
(an exclamation indicating resignation); oh well; oh; mm,唉;唉,ài
plan; design,设计;設計,shè jì
round; ball; group; unite; dumpling; (mw for ball-like things),团;團,tuán
to treasure; cherish; to value,珍惜;珍惜,zhēn xī
nape (of the neck); sum (of money); mw item,项;項,xiàng
"(mw for hearts and small, round things like seeds, grains, beans, etc.)",颗;顆,kē
experience for oneself; to personally experience (usually a kind of life),体验;體驗,tǐ yàn
to kill; to murder,杀;殺,shā
really; sure enough; as expected,果然;果然,guǒ rán
"to lose (time, an opportunity, work, etc.)",失去;失去,shī qù
dream of; wishful thinking,梦想;夢想,mèng xiǎng
diluted; weak; thin,淡;淡,dàn
(informal) wife,老婆;老婆,lǎo pó
pig,猪;豬,zhū
pain; suffering; agony,痛苦;痛苦,tòng kǔ
perfect,完美;完美,wán měi
non-; un-; not be; wrongdoing; simply must (Kangxi radical 175),非;非,fēi
at once; hurriedly; lose no time,赶紧;趕緊,gǎn jǐn
pot; pan; boiler,锅;鍋,guō
plain; convenient; excretion; formal equivalent to 就 | cheap,便;便,biàn | pián
"crowd; group; (mw for groups, flocks, or swarms)",群;群,qún
enjoy,享受;享受,xiǎng shòu
classics; scriptures,经典;經典,jīng diǎn
counterpart; the other party involved,对方;對方,duì fāng
otherwise; or else; how about,要不;要不,yào bù
to wait (for); expect,等待;等待,děng dài
safe and sound,平安;平安,píng ān
not as good as; inferior to,不如;不如,bù rú
smile,微笑;微笑,wēi xiào
vigor; spirit; mind,精神;精神,jīng shen
lonely; lonesome,寂寞;寂寞,jì mò
standard; regulation; however; in that case,则;則,zé
market,市场;市場,shì chǎng
super; transcending; high grade,超级;超級,chāo jí
blood (Kangxi radical 143),血;血,xuè
"top; roof; carry on one's head; prop up; to butt; (mw for headwear, i.e. hats)",顶;頂,dǐng
to face; confront,面对;面對,miàn duì
(for) a lifetime; all one's life,一辈子;一輩子,yí bèi zi
to cut; to chop | correspond to; absolutely; ardently,切;切,qiē | qiè
product; goods; merchandise,产品;産品,chǎn pǐn
way; style; fashion; manner,方式;方式,fāng shì
belong to; be part of,属于;屬于,shǔ yú
weigh; to call; be called,称;稱,chēng
to boil; to cook,煮;煮,zhǔ
to hate,恨;恨,hèn
to spit | to vomit; throw up,吐;吐,tǔ | tù
to dry in the sun; shine upon; to sun; bask,晒;曬,shài
square; direction; side (Kangxi radical 70),方;方,fāng
represent; to delegate,代表;代表,dài biǎo
value; worth,价值;價值,jià zhí
"(interjection expressing what?, huh? hmm? why? ok, etc.)",嗯;嗯,ēn
romantic love; be in love; love affair,恋爱;戀愛,liàn ài
space,空间;空間,kōng jiān
true; real; authentic,真实;真實,zhēn shí
network,网络;網絡,wǎng luò
at present; now; for the moment,目前;目前,mù qián
reality; actuality; practical,现实;現實,xiàn shí
regard as; act as; action; deed,作为;作爲,zuò wéi
scold; curse; condemn; verbally abuse,骂;罵,mà
government,政府;政府,zhèng fǔ
pursue; chase,追;追,zhuī
dragon (Kangxi radical 212),龙;龍,lóng
to exist; to be,存在;存在,cún zài
boss; proprietor; shopkeeper,老板;老板,lǎo bǎn
to lead; leader; leadership,领导;領導,lǐng dǎo
to keep; maintain; to hold,保持;保持,bǎo chí
still; as before,依然;依然,yī rán
feel; experience; emotion; impression,感受;感受,gǎn shòu
strong; staunch,坚强;堅強,jiān qiáng
number | to count; to rank,数;數,shù | shǔ
"(movie, etc.) star; celebrity",明星;明星,míng xīng
company; business; firm,企业;企業,qǐ yè
rise; hoist; promote; liter,升;升,shēng
injure; to harm; wound,伤害;傷害,shāng hài
unceasing; uninterrupted; continuously,不断;不斷,bú duàn
to freeze,冻;凍,dòng
freedom; free; liberty,自由;自由,zì yóu
youth; youthfulness; fresh spring,青春;青春,qīng chūn
whole; entire; total,整个;整個,zhěng gè
