得,(complement particle),de
等,to wait; rank; equal; etc.,děng
死,to die; dead; fixed; impassible; extremely,sǐ
与,(formal) and; to give; together with; participate; final particle expressing doubt or surprise,yǔ
而,and; but; yet; while (Kangxi radical 126),ér
之,(literary equivalent to 的); (pronoun); of,zhī
活动,activity; exercise; move about,huó dòng
生活,life; livelihood; to live,shēng huó
幸福,happy; blessed; fortunate,xìng fú
呀,"ah; oh; (used for 啊 after words ending with a, e, i, o, or ü)",ya
转,to turn; to change; pass on | revolve; rotate,zhuǎn | zhuàn
当,should; act as; work as; manage; match; (sound of bells),dāng
却,but; yet; however,què
无,have not; without; not (Kangxi radical 71),wú
感觉,to feel; become aware of; feeling,gǎn jué
地址,address,dì zhǐ
开心,feel happy; have a great time; make fun of somebody,kāi xīn
以,to use; according to; so as to; for; by,yǐ
支持,sustain; hold out; | support; stand by (e.g. international support),zhī chí
不过,only; merely; but; however,bú guò
刚,just (indicating the immediate past); recently; firm,gāng
座,"(mw for mountains, bridges, tall buildings, etc.); | seat; base; stand; constellation",zuò
爱情,(romantic) love,ài qíng
永远,forever; eternal; always,yǒng yuǎn
原来,original; former; as it turns out,yuán lái
心情,mood; state of mind,xīn qíng
一切,all; every; everything,yí qiè
获得,obtain; acquire; to gain,huò dé
继续,to continue; to go on; to proceed,jì xù
连,even; including; join,lián
各,each; every,gè
可是,but; however,kě shì
挺,straighten up; stick out; rather (good); very,tǐng
陪,accompany; keep company,péi
行,walk; be current; do; will do; okay,xíng
所有,all; to have; to possess,suǒ yǒu
梦,to dream,mèng
感谢,thank; be grateful,gǎn xiè
成功,success; to succeed,chéng gōng
结果,result; outcome; finally,jié guǒ
只要,so long as; if only; provided that,zhǐ yào
内,inside; inner; internal; within,nèi
拉,to pull; to play (string instruments); to drag,lā
以为,think (mistakenly); consider (that); believe,yǐ wéi
掉,to drop; to fall,diào
成为,become; turn into,chéng wéi
最好,the best; had better ...; it would be best,zuì hǎo
毛,hair; fur; feather; dime (Kangxi radical 82),máo
帅,handsome; graceful; commander-in-chief,shuài
场,"courtyard; place; field; (mw for games, performances, etc.)",chǎng
生命,life,shēng mìng
好像,as if; seem to be,hǎo xiàng
价格,price,jià gé
真正,genuine; real; true,zhēn zhèng
干,to concern; shield; dry; clean (Kangxi radical 51),gān
来自,come from (a place),lái zì
出现,appear; arise; emerge,chū xiàn
秒,second (unit of time or angle),miǎo
节,section; part; festival; moral integrity; save; (mw for class periods),jié
重,heavy; serious; important,zhòng
免费,free (of charge); no cost,miǎn fèi
抱,to hold; to hug; carry in one's arms; to cradle,bào
使,to use; to make; to cause; enable; envoy; messenger,shǐ
收,receive; accept; collect; to harvest,shōu
美丽,beautiful,měi lì
任何,any; whatever; whichever,rèn hé
讨厌,to hate; loathe; disgusting; troublesome,tǎo yàn
到底,after all; in the end (used in a question),dào dǐ
敢,to dare,gǎn
赢,to win; to beat; to profit,yíng
完全,complete; whole; totally,wán quán
份,"part; portion; (mw for documents, papers, jobs, etc.)",fèn
留,"to leave (behind, a message); to retain; to stay",liú
改变,to change; alter; to transform,gǎi biàn
由,follow; from; by; through,yóu
香,fragrant; savory (Kangxi radical 186),xiāng
坚持,persist in; persevere,jiān chí
表示,express; show; indicate,biǎo shì
照,to shine; illuminate; according to,zhào
台,platform; Taiwan (abbr.); desk; stage; typhoon; (mw for machines); (classical) you (in letters),tái
感动,be moved; to touch emotionally,gǎn dòng
不管,"no matter (what, how, etc.); regardless of",bù guǎn
交,deliver; turn over; intersect; to pay (money); friendship,jiāo
发生,happen; occur; take place,fā shēng
放弃,abandon; renounce; give up,fàng qì
也许,perhaps; probably; maybe,yě xǔ
感情,feeling; emotion; sensation,gǎn qíng
直接,direct; immediate,zhí jiē
光,light; ray; bright; only; merely; used up,guāng
肯定,sure; definite; affirm; approve,kěn dìng
苦,bitter; miserable,kǔ
通过,by means of; through (a method); pass through; via,tōng guò
无聊,nonsense; bored; silly; stupid,wú liáo
满,full; abbreviation for Manchurian,mǎn
假,fake; if; borrow | vacation; holiday,jiǎ | jià
适合,to suit; to fit,shì hé
社会,society,shè huì
擦,to wipe; to rub; to polish,cā
竟然,unexpectedly; to one's surprise; go so far as to,jìng rán
弄,do; manage; to handle; make,nòng
使用,to use; employ; apply; administer; manipulate,shǐ yòng
深,deep; profound; dark (of colors),shēn
醒,wake up,xǐng
值得,be worth; deserve,zhí de
困,sleepy; surround; hard-pressed,kùn
挂,hang; put up; suspend,guà
篇,sheet; (mw for articles); piece of writing,piān
精彩,brilliant; spectacular; wonderful,jīng cǎi
够,enough; to reach,gòu
安全,safe; safety; secure; security,ān quán
低,low; to lower (one's head); droop,dī
同时,at the same time; simultaneously,tóng shí
棒,stick; club; good; excellent,bàng
情况,circumstance; state of affairs; situation,qíng kuàng
辛苦,hard; exhausting; toilsome; laborious,xīn kǔ
接受,"accept; receive (honors, etc.)",jiē shòu
消息,news; information,xiāo xi
进行,carry on; carry out; undertake,jìn xíng
于是,as a result; thus; therefore,yú shì
是否,whether (or not); if,shì fǒu
要是,if; suppose; in case,yào shi
对于,regarding; as far as sth. is concerned; with regards to; for,duì yú
能力,capability; capable; ability,néng lì
回忆,to recall; recollect,huí yì
信息,information; news; message,xìn xī
阳光,sunshine; sunlight,yáng guāng
火,fire (Kangxi radical 86),huǒ
味道,flavor; taste,wèi dao
即使,even if; even though,jí shǐ
倒,to collapse; to fall; fail; to exchange | to pour; contrary to expectations,dǎo | dào
样子,manner; air; appearance; looks,yàng zi
难道,could it be that ...?; don't tell me ...,nán dào
全部,whole; entire; complete,quán bù
压力,pressure; stress,yā lì
无论,no matter what; regardless of whether...,wú lùn
汤,soup; broth,tāng
羡慕,to envy; admire,xiàn mù
本来,originally; at first,běn lái
皮肤,skin,pí fū
自然,nature; natural,zì rán
方法,method; way; means,fāng fǎ
发展,develop; development; growth,fā zhǎn
确实,indeed; in truth; reliable,què shí
乱,disorder; confusion; arbitrarily,luàn
效果,effect; result,xiào guǒ
遍,a time; everywhere; turn; (mw for times or turns),biàn
可惜,it's a pity; regrettable; too bad,kě xī
广告,advertisement; a commercial,guǎng gào
减肥,go on a diet; lose weight,jiǎn féi
原因,cause; reason,yuán yīn
理解,comprehend; understand,lǐ jiě
估计,appraise; estimate,gū jì
速度,speed; rate; velocity,sù dù
可怜,pitiful; poor; pathetic,kě lián
专业,profession; specialized field of study; major,zhuān yè
破,broken; damaged; to split,pò
取,to take; get; choose,qǔ
经历,undergo; to experience,jīng lì
保护,to protect; to defend,bǎo hù
正常,normal; regular; ordinary,zhèng cháng
轻松,relaxed; gentle; easygoing,qīng sōng
当时,then; at that time; while,dāng shí
经济,economy; economic,jīng jì
实在,honest; in reality; honestly; indeed; certainly,shí zài
浪漫,romantic,làng màn
空,empty; sky | leave blank; leisure,kōng | kòng
糖,sugar; candy; sweets,táng
联系,integrate; link; connection; contact,lián xì
解释,to explain,jiě shì
建议,to propose; to suggest; recommend,jiàn yì
其中,among; in; included among these,qí zhōng
指,"finger; to point (at, to, out); refer to",zhǐ
技术,technology; technique; skill,jì shù
左右,about; approximate; around | left and right,zuǒ yòu
俩,(colloquial) two (people),liǎ
