to Find,找
not allowed,不行
game,游戏
suitable,适合
come in,进来
bad person,坏人
You can do it,加油
Episode,集
The same old thing,我还是老样子
Zhang Wanning,张婉凝
Pizza,披萨
Egg fried rice,蛋炒饭
Germany,德国
Russia,俄国
Italy,意大利
Ireland,爱尔兰
Canada,加拿大
Thailand,泰国
HSK,汉语水平考试
Scotland,苏格兰
Glasgow,格拉斯哥
Edinburgh,爱丁堡
Aberdeen,阿但丁
Magic,魔法
Stick,棒
to wave,挥动
and then,然后
Frog,青蛙
self,自己
should,应该
other,别的
place,地方
to feel,感到
lonely,孤单
to need,需要
to Help,帮忙
Chocolate,巧克力
cookie,饼干
to Lick,舔
to Begin,开始
video,视频
aerodynamics,空气动力学
Thermodynamics,热力学
Mechanics,力学
Fluid Mechanics,流体力学
Engineer,工程师
Calculus,微积分学
Roommate,室友
to download,下载
to upload,上传
