系,be; relate to; system; fasten; department; faculty; connect | to tie,xì | jì
推荐,recommend; recommendation,tuī jiàn
哈,exhale; sip; (sound of laughter),hā
人生,human life,rén shēng
搞,do; make; be engaged in,gǎo
拍,"to clap; to pat; to shoot (pictures, a film); send (a telegram)",pāi
期待,look forward to; await; expectation,qī dài
片,(mw for pieces of things); a slice; a flake (Kangxi radical 91) | film; photo,piàn | piān
靠,depend on; lean on; near; to trust,kào
所,"place; that which; (mw for houses, buildings)",suǒ
装,to load; dress up; pretend; clothing; to install,zhuāng
翻,to turn over; capsize; translate,fān
滴,to drip; drop; (mw for drops of liquid),dī
居然,unexpectedly; to one's surprise; go so far as to,jū rán
套,cover; (mw for sets of things); tie together,tào
哎,hey!; (interjection of surprise or dissatisfaction),āi
傻,foolish; fool,shǎ
参与,participate (in sth.); attach oneself to,cān yù
首,head; chief; first; (mw for poems and songs) (Kangxi radical 185),shǒu
宝贝,treasure; precious things; darling; baby,bǎo bèi
夜,night; darkness,yè
个人,individual; personal; oneself,gè rén
发表,publish; to issue (a statement); announce,fā biǎo
正,straight; currently; correct; just (right); pure; precisely,zhèng
如何,how; what; what way,rú hé
抢,fight over; vie for; grab; rush | bump against,qiǎng | qiāng
亲爱,"beloved; Dear ... (a way of starting a letter lovers, intimate friends or close relatives)",qīn ài
曾经,once; (refers to something that happened previously),céng jīng
未来,future,wèi lái
绝对,absolute; definite,jué duì
祝福,blessings; wish well,zhù fú
温暖,warm,wēn nuǎn
克,gram; overcome; restrain,kè
某,a certain; some,mǒu
亮,bright; light; shiny,liàng
时尚,fashion; fad,shí shàng
日子,days; date; time; life,rì zi
唉,(an exclamation indicating resignation); oh well; oh; mm,ài
设计,plan; design,shè jì
团,round; ball; group; unite; dumpling; (mw for ball-like things),tuán
珍惜,to treasure; cherish; to value,zhēn xī
项,nape (of the neck); sum (of money); mw item,xiàng
颗,"(mw for hearts and small, round things like seeds, grains, beans, etc.)",kē
体验,experience for oneself; to personally experience (usually a kind of life),tǐ yàn
杀,to kill; to murder,shā
