(complement particle),得;得,de
to wait; rank; equal; etc.,等;等,děng
to die; dead; fixed; impassible; extremely,死;死,sǐ
(formal) and; to give; together with; participate; final particle expressing doubt or surprise,与;與,yǔ
and; but; yet; while (Kangxi radical 126),而;而,ér
(literary equivalent to 的); (pronoun); of,之;之,zhī
activity; exercise; move about,活动;活動,huó dòng
life; livelihood; to live,生活;生活,shēng huó
happy; blessed; fortunate,幸福;幸福,xìng fú
"ah; oh; (used for 啊 after words ending with a, e, i, o, or ü)",呀;呀,ya
to turn; to change; pass on | revolve; rotate,转;轉,zhuǎn | zhuàn
should; act as; work as; manage; match; (sound of bells),当;當,dāng
but; yet; however,却;卻,què
have not; without; not (Kangxi radical 71),无;無,wú
to feel; become aware of; feeling,感觉;感覺,gǎn jué
address,地址;地址,dì zhǐ
feel happy; have a great time; make fun of somebody,开心;開心,kāi xīn
to use; according to; so as to; for; by,以;以,yǐ
sustain; hold out; | support; stand by (e.g. international support),支持;支持,zhī chí
only; merely; but; however,不过;不過,bú guò
just (indicating the immediate past); recently; firm,刚;剛,gāng
"(mw for mountains, bridges, tall buildings, etc.); | seat; base; stand; constellation",座;座,zuò
(romantic) love,爱情;愛情,ài qíng
forever; eternal; always,永远;永遠,yǒng yuǎn
original; former; as it turns out,原来;原來,yuán lái
mood; state of mind,心情;心情,xīn qíng
all; every; everything,一切;一切,yí qiè
obtain; acquire; to gain,获得;獲得,huò dé
to continue; to go on; to proceed,继续;繼續,jì xù
even; including; join,连;連,lián
each; every,各;各,gè
but; however,可是;可是,kě shì
straighten up; stick out; rather (good); very,挺;挺,tǐng
accompany; keep company,陪;陪,péi
walk; be current; do; will do; okay,行;行,xíng
all; to have; to possess,所有;所有,suǒ yǒu
to dream,梦;夢,mèng
thank; be grateful,感谢;感謝,gǎn xiè
success; to succeed,成功;成功,chéng gōng
result; outcome; finally,结果;結果,jié guǒ
so long as; if only; provided that,只要;只要,zhǐ yào
inside; inner; internal; within,内;內,nèi
to pull; to play (string instruments); to drag,拉;拉,lā
think (mistakenly); consider (that); believe,以为;以爲,yǐ wéi
to drop; to fall,掉;掉,diào
become; turn into,成为;成爲,chéng wéi
the best; had better ...; it would be best,最好;最好,zuì hǎo
hair; fur; feather; dime (Kangxi radical 82),毛;毛,máo
handsome; graceful; commander-in-chief,帅;帥,shuài
"courtyard; place; field; (mw for games, performances, etc.)",场;場,chǎng
life,生命;生命,shēng mìng
as if; seem to be,好像;好像,hǎo xiàng
price,价格;價格,jià gé
genuine; real; true,真正;真正,zhēn zhèng
to concern; shield; dry; clean (Kangxi radical 51),干;幹,gān
come from (a place),来自;來自,lái zì
appear; arise; emerge,出现;出現,chū xiàn
second (unit of time or angle),秒;秒,miǎo
section; part; festival; moral integrity; save; (mw for class periods),节;節,jié
heavy; serious; important,重;重,zhòng
free (of charge); no cost,免费;免費,miǎn fèi
