啦,sentence-final particle: a contraction of 了 (le) and 啊 (a),la,[sound:啦.mp3]
哦,oh (indicates understanding),ò,[sound:哦.mp3]
哇,wow; (sound of crying or surprise),wa,[sound:哇.mp3]
嘛,(used to persuade somebody to do something); (particle indicating obviousness) | (colloqial) what?,ma | má,[sound:嘛.mp3]
啥,(spoken) what,shá,[sound:啥.mp3]
评论,comment on; discuss; remark,píng lùn,[sound:评论.mp3]
投票,vote; poll,tóu piào,[sound:投票.mp3]
拥有,have; possess,yōng yǒu,[sound:拥有.mp3]
视频,video,shì pín,[sound:视频.mp3]
人家,other people; others; they; I; family; household,rén jiā,[sound:人家.mp3]
客户,customer; account; client,kè hù,[sound:客户.mp3]
喂,hey; to feed | hello (on the phone),wèi | wéi,[sound:喂.mp3]
坑,pit; hole; defraud,kēng,[sound:坑.mp3]
折,to break; to fracture; convert into; to fold,zhé,[sound:折.mp3]
更新,to replace the old with new; to renew; to renovate; to upgrade; to update; to regenerate; to rejuvenate,gēng xīn,[sound:更新.mp3]
端,end; beginning; extremity; carry holding something from the sides,duān,[sound:端.mp3]
现场,scene (of event or incident); on the spot,xiàn chǎng,[sound:现场.mp3]
时光,time; era; period of time,shí guāng,[sound:时光.mp3]
搭,"to erect; to build; travel by (car, plane, etc.); to hang; to join",dā,[sound:搭.mp3]
咋,how/why (contraction of 怎么),zǎ,[sound:咋.mp3]
而已,that's all; nothing more,ér yǐ,[sound:而已.mp3]
明明,obviously; plainly; undoubtedly,míng míng,[sound:明明.mp3]
收藏,collect; keep,shōu cáng,[sound:收藏.mp3]
果断,firm; decisive,guǒ duàn,[sound:果断.mp3]
搭配,pair up; arrange in pairs; to add sth. into a group; to suit,dā pèi,[sound:搭配.mp3]
用户,user; consumer; subscriber; customer,yòng hù,[sound:用户.mp3]
奖励,to reward (as encouragement),jiǎng lì,[sound:奖励.mp3]
瞬间,in the twinkling of an eye; in an instant; momentary,shùn jiān,[sound:瞬间.mp3]
真相,the actual facts; reality,zhēn xiàng,[sound:真相.mp3]
扣,to fasten; to button; button; buckle; knot; to arrest; to confiscate; to deduct (money); discount; to knock; put upside down; to smash or spike (a ball); to cover (with a bowl etc); fig. to tag a label on sb,kòu,[sound:扣.mp3]
吼,roar; howl,hǒu,[sound:吼.mp3]
发布,issue; announce; release,fā bù,[sound:发布.mp3]
默默,in silence; not speaking,mò mò,[sound:默默.mp3]
恐怖,afraid; terror,kǒng bù,[sound:恐怖.mp3]
恶心,disgusting; nauseous; make somebody embarrassed (èxīn: bad/vicious habit; vice),ě xin,[sound:恶心.mp3]
系列,series,xì liè,[sound:系列.mp3]
欢乐,gaiety; glee; delighted,huān lè,[sound:欢乐.mp3]
膜,membrane; film,mó,[sound:膜.mp3]
孤独,lonely; solitary,gū dú,[sound:孤独.mp3]
事业,undertaking; project; cause; enterprise,shì yè,[sound:事业.mp3]
性感,sex appeal; sexy; sexuality,xìng gǎn,[sound:性感.mp3]
心灵,heart; soul; smart; quick-witted,xīn líng,[sound:心灵.mp3]
秤,balance; scale; steelyard,chèng,[sound:秤.mp3]
嗨,hey/hi (loanword); oh; alas;,hāi,[sound:嗨.mp3]
跨,step across; stride; straddle; to cross,kuà,[sound:跨.mp3]
粥,porridge; congee; gruel,zhōu,[sound:粥.mp3]
结局,conclusion; ending,jié jú,[sound:结局.mp3]
造型,make a model; to mold,zào xíng,[sound:造型.mp3]
亦,also,yì,[sound:亦.mp3]
气质,temperament; disposition,qì zhì,[sound:气质.mp3]
砸,to smash; to pound; to break; fail,zá,[sound:砸.mp3]
牵,to lead along; to pull (an animal on a tether),qiān,[sound:牵.mp3]
文艺,literature and art,wén yì,[sound:文艺.mp3]
事件,event; happening; incident,shì jiàn,[sound:事件.mp3]
岁月,the years of a person's life,suì yuè,[sound:岁月.mp3]
诱惑,tempt; temptation; entice; lure; attract,yòu huò,[sound:诱惑.mp3]
心态,pyschology; mentality; spirit,xīn tài,[sound:心态.mp3]
眼神,expression or emotion showing in one's eyes,yǎn shén,[sound:眼神.mp3]
官方,official; (by the) government,guān fāng,[sound:官方.mp3]
依旧,as before; still,yī jiù,[sound:依旧.mp3]
神奇,miraculous; magical; mystical,shén qí,[sound:神奇.mp3]
党,party; club; association,dǎng,[sound:党.mp3]
嘿,hey; interjection for calling attention,hēi,[sound:嘿.mp3]
枚,"(mw for coins, rings, medals)",méi,[sound:枚.mp3]
哼,groan; snort; to hum; croon,hēng,[sound:哼.mp3]
穿越,pass through; cut across,chuān yuè,[sound:穿越.mp3]
