找	try to find	zhǎo	[sound:找.mp3]	
不行	not allowed	Bù xíng	[sound:不行.mp3]	
游戏	game	yóu xì	[sound:游戏.mp3]	
适合	suitable for	Shì hé	[sound:适合.mp3]	
进来吧	come in	Jìn lái ba&nbsp;	[sound:进来.mp3]	
坏人	bad person	Huài rén	[sound:坏人.mp3]	
加油	Come on! (Encouragement)	Jiā yóu	[sound:加油.mp3]	
集	Episode	Jí	[sound:集.mp3]	
我还是老样子	The same old thing	Wǒ hái shì lǎo yàng zi	[sound:我还是老样子.mp3]	
张婉凝	Zhang Wanning	Zhāng wǎn níng	[sound:张婉凝.mp3]	
披萨	Pizza	Pī sà	[sound:披萨.mp3]	
蛋炒饭	Egg fried rice	Dàn chǎo fàn	[sound:蛋炒饭.mp3]	
德国	Germany	Dé guó	[sound:德国.mp3]	
俄国	Russia	É guó	[sound:俄国.mp3]	
意大利	Italy	Yì dà lì	[sound:意大利.mp3]	
爱尔兰	Ireland	Ài ěr lán	[sound:爱尔兰.mp3]	
加拿大	Canada	Jiā ná dà	[sound:加拿大.mp3]	
泰国	Thailand	Tài guó	[sound:泰国.mp3]	
汉语水平考试	HSK	Hàn yǔ shuǐ píng kǎo shì	[sound:汉语水平考试.mp3]	
苏格兰	Scotland	Sū gé lán	[sound:苏格兰.mp3]	
格拉斯哥	Glasgow	Gé lā sī gē	[sound:格拉斯哥.mp3]	
爱丁堡	Edinburgh	Ài dīng bǎo	[sound:爱丁堡.mp3]	
阿但丁	Aberdeen	A dàn dīng	[sound:阿但丁.mp3]	
魔法	Magic	Mó fǎ	[sound:魔法.mp3]	
棒	Stick	Bàng	[sound:棒.mp3]	
挥动	to wave	Huī dòng	[sound:挥动.mp3]	
然后	then; afterwards	rán hòu	[sound:然后.mp3]	
青蛙	Frog	Qīng wā	[sound:青蛙.mp3]	
自己	oneself; self	zì jǐ	[sound:自己.mp3]	
应该	should	yīng gāi	[sound:应该.mp3]	
别的	other	Bié de	[sound:别的.mp3]	
地方	A place	dì fang	[sound:地方.mp3]	
孤单	lonely	Gū dān	[sound:孤单.mp3]	
需要	to need	xū yào	[sound:需要.mp3]	
帮忙	to help	bāng máng	[sound:帮忙.mp3]	
巧克力	Chocolate	Qiǎo kè lì	[sound:巧克力.mp3]	
饼干	cookie	Bǐng gān	[sound:饼干.mp3]	
舔	to Lick	Tiǎn	[sound:舔.mp3]	
开始	begin; to start; beginning	kāi shǐ	[sound:开始.mp3]	
视频	video	Shì pín	[sound:视频.mp3]	
空气动力学	aerodynamics	Kōng qì dòng lì xué	[sound:空气动力学.mp3]	
热力学	Thermodynamics	Rè lì xué	[sound:热力学.mp3]	
力学	Mechanics	Lì xué	[sound:力学.mp3]	
流体力学	Fluid Mechanics	Liú tǐ lì xué	[sound:流体力学.mp3]	
工程师	Engineer	Gōng chéng shī	[sound:工程师.mp3]	
微积分学	Calculus	Wéi jī fēn xué	[sound:微积分学.mp3]	
室友	Roommate	Shì yǒu	[sound:室友.mp3]	
下载	to download	Xià zài	[sound:下载.mp3]	
上传	to upload	Shàng chuán	[sound:上传.mp3]	
酸疼	Sore	Suān téng	[sound:酸疼.mp3]	
下一集	Next episode	Xià yī jí	[sound:下一集.mp3]	
鱼	fish	yú	[sound:鱼.mp3]	
删除	to delete	Shān chú	[sound:删除.mp3]	
深圳	Shenzhen	Shēnzhèn	[sound:深圳.mp3]	
广州	Guangzhou	Guǎng zhōu	[sound:广州.mp3]	
山东省	Shandong province	Shān dōng shěng	[sound:山东省.mp3]	
潍坊	Weifang	Wéi fāng	[sound:潍坊.mp3]	
微信	WeChat	Wēi xìn	[sound:微信.mp3]	
你想一想	You think about it	Nǐ xiǎng yī xiǎng	[sound:你想一想.mp3]	
今天天气怎么样	How's the weather today?	Jīn tiān tiān qì zěn me yàng?	[sound:今天天气怎么样.mp3]	
炸鸡	deep fried chicken	Zhá jī	[sound:炸鸡.mp3]	
活着	to be alive	Huó zhe	[sound:活着.mp3]	
我回来了	Im back	Wǒ huí lái le	[sound:我回来了.mp3]	
我准备好了	Im ready	Wǒ zhǔn bèi hǎo le	[sound:我准备好了.mp3]	
组装	to assemble	Zǔ zhuāng	[sound:组装.mp3]	
健身房	Gym	Jiàn shēn fáng	[sound:健身房.mp3]	
一次性	One time use	Yī cì xìng	[sound:一次性.mp3]	
等一会儿	Wait a little while	Děng yī huǐ'er	[sound:等一会儿.mp3]	
炒鸡蛋	Scrambled eggs	Chǎo jī dàn		
忘记	to forget	Wàng jì		
太多了	too much	Tài duō le		
我吃的太多了	I ate too much	Wǒ chī de tài duō le		
可爱	cute	Kě ài		
有点儿	kind of (used to describe a negative adjective)	Yǒu diǎn er&nbsp;		
站	to stand	Zhàn		
你可以的	You can do it!	Nǐ kěyǐ de		
你是最棒的	You are the best&nbsp;	Nǐ shì zuì bàng de		
你从哪里学习中文	Where did you learn chinese from&nbsp;	Nǐ cóng nǎlǐ xuéxí zhōngwén		
外面	Outside	Wài miàn		
真的吗	Really?	Zhēn de ma		
谢天谢地	Thank heavens!	Xiè tiān xiè dì		
一般般	So-so	Yī bān bān		
更多	More&nbsp;	Gèng duō		
我来自英国	I'm from the uk	Wǒ lái zì yīng guó		
火锅	Hotpot	Huǒ guō		
外卖	Takeaway (noun)	Wàimài		
点	to order	Diǎn		
聊天	to chat about sth	Liáo tiān		
送	To deliver	Sòng		
记	to remember	Jì		
很多	A lot of	Hěn duō		
很久	<div>long time<br></div>	Hěn jiǔ		
微波炉	Microwave	Wéi bō lú		
粥	Porridge	zhōu		
你不需要等我	You don't need to wait for me&nbsp;	Nǐ bù xūyào děng wǒ		
我很久没吃披萨了	I haven't eaten pizza in a long time	Wǒ hěn jiǔ méi chī pī sà le		
动物园	Zoo	Dòng wù yuán		
讨厌	to hate	Tǎo yàn		
尝试	to try	Cháng shì		
本科生	Undergraduate student	běn kē shēng		
研究生	postgraduate student&nbsp;	yán jiū shēng		
作业	Homework	Zuò yè		
豆腐	Tofu	Dòu fu		
最后	last/final	Zuì hòu		
爸妈	Parents (informal)	Bà mā		
你今天过得怎么样	How was your day today?	Jīn tiān guò dé zěn me yàng		
晚点	Later	Wǎn diǎn		
中国音乐	Chinese music	Zhōng guó yīn yuè		
你想跟我聊什么	What do you want to chat about with me	Nǐ xiǎng hé wǒ liáo shén me		
聊	To chat	Liáo		
教练	Coach/personal trainer	Jiào liàn		
别担心	Don't worry&nbsp;	Bié dān xīn		
请说慢一点	Please speak a little slower	Qǐng shuō màn yī diǎn		
一点儿	A little bit (as a measure of a noun)	Yī diǎn er		
从不	Never&nbsp;	Cóng bù		
很少	Rarely	Hěn shǎo		
偶尔	Occasionally&nbsp;	Ǒu ěr		
经常	Often	Jīng cháng		
歌词	Lyrics (for a song)	Gē cí		
组	A group (set for exercise)	Zǔ		
训练	to train	Xùn liàn		
有氧训练	Cardio&nbsp;	Yǒu yǎng xùn liàn		
重量训练	Weight training	Zhòng liàng xùn liàn		
核心训练	Core training (abs)	Hé xīn xùn liàn		
三头肌	Tricep	Sān tóu jī		
二头肌	Bicep	Èr tóu jī		
肩膀	Shoulder	Jiān bǎng		
重量	Weights	Zhòng liàng		
哑铃	Dumbbells&nbsp;	Yǎ líng		
杠铃	Barbell	Gàng líng		
壶铃	Kettlebells	Hú líng		
单杠	Horizontal bar (for pull ups ect)	Dān gàng		
跑步机	Treadmill	Pǎo bù jī		
划船机	Rowing machine	Huá chuán jī		
椭圆机	Elliptical machine	Tuǒ yuán jī		
滑步机	Cross trainer	Huá bù jī		
直播	Live broadcast	Zhí bò		
自己学的	Self taught	Zì jǐ xué de		
咸	Salty	Xián		
里面	Inside	Lǐ miàn		
顽皮	Naughty	Wán pí		
购物	Shopping (noun)	Gòu wù		
推车	Cart/Trolley	Tuī chē		
购清单	Shopping list	Gòu qīng dān		
番茄	Tomato	Fān qié		
洋葱	Onion	Yáng cōng		
首先	First of all (conjunction)	Shǒu xiān		
做得好	Well done	Zuò dé hǎo		
薯片	Crisps	Shǔ piàn		
猜	To guess	Cāi		
恐龙	Dinosaur	Kǒng lóng		
超市	Supermarket	Chāo shì		
我现在想起来了	I just remembered now	Wǒ xiànzài xiǎng qǐ lái le		
